PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,ORB,DRB,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,FGM,FGA,FG%,3P%,FT%,2P%,eFG%,TS%,USG%,EFF,PER,+/-,POSS,TM OFF RTG (ON),TM DEF RTG (ON),TM NET RTG (ON),IND OFF RTG,IND DEF RTG,IND NET RTG,OWS,DWS,WS,BPM,OBPM,DBPM,VORP,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Hayes Davis N.,2024-2025,30,203,31.11764705882353,16.823529411764707,34,23,48,130,178,50,9,39,51,72,99,85,194,422,46.0,42.3,89.2,49.3,56.0,61.4,23.5,606,19.2,43,517,115.5,113.0,2.5,117.0,104.2,12.8,1.5,2.5,4.1,3.2,2.2,1.0,3.5,0.6764705882352942,3,16.22222222222222,13.3
Hayes K.,2024-2025,28,206,19.91176470588235,6.352941176470588,34,19,61,93,154,16,29,31,33,95,50,0,83,142,58.5,0.0,76.9,58.9,58.5,62.4,14.5,288,16.3,138,206,116.9,107.6,9.3,108.3,96.0,12.3,0.3,2.1,2.5,2.5,-1.7,4.2,1.9,0.5588235294117647,1,6.294117647058823,6.4
Hernangomez J.,2024-2025,29,206,27.03030303030303,10.363636363636363,33,21,47,174,221,47,8,31,20,36,35,53,127,251,50.6,43.8,66.0,56.9,61.2,62.1,16.2,506,17.5,140,296,123.3,114.8,8.5,119.9,103.7,16.2,0.9,2.3,3.2,3.4,1.5,1.9,3.2,0.6363636363636364,2,8.54054054054054,9.3
Hernangomez W.,2024-2025,31,210,15.428571428571429,8.071428571428571,28,14,46,74,120,16,4,18,33,52,48,0,89,141,63.1,0.0,64.0,63.6,63.1,65.3,22.6,291,20.8,73,206,125.3,116.6,8.7,114.0,105.2,8.8,0.5,1.0,1.5,-0.2,-0.3,0.1,0.5,0.5,4,5.648648648648648,7.2
Herrera S.,2024-2025,27,190,11.923076923076923,4.384615384615385,13,7,3,11,14,5,0,5,2,17,8,15,17,48,35.4,36.6,80.0,28.6,51.0,54.8,16.0,32,9.1,69,54,125.3,103.8,21.5,110.2,99.4,10.8,0.0,0.5,0.5,-2.1,-0.8,-1.3,0.0,0.5384615384615384,0,7.714285714285714,6.1
Hezonja M.,2024-2025,30,198,26.90625,14.625,32,20,15,151,166,52,4,25,47,50,62,62,172,382,45.0,31.5,83.8,59.5,53.1,56.8,25.6,456,16.6,53,459,114.7,110.8,3.9,101.8,101.4,0.4,-0.4,2.4,2.0,-0.3,-0.6,0.3,1.0,0.625,3,13.0,13.7
Hifi N.,2024-2025,22,185,19.676470588235293,14.676470588235293,34,19,16,55,71,44,0,21,51,60,97,84,159,404,39.4,33.5,85.8,49.0,49.8,55.3,33.7,355,19.0,-149,502,114.9,126.7,-11.8,110.1,115.9,-5.8,0.5,0.8,1.3,-2.7,1.4,-4.1,-0.3,0.5588235294117647,5,19.02777777777778,14.7
Hoard J.,2024-2025,26,204,30.541666666666668,14.708333333333334,24,6,31,90,121,33,6,31,21,46,76,11,133,232,57.3,32.4,78.4,61.6,59.7,64.3,19.0,421,19.0,-47,296,117.7,122.0,-4.3,120.6,109.7,10.9,0.7,1.1,1.8,1.4,1.1,0.3,1.4,0.25,1,11.911764705882353,13.4
Howard M.,2024-2025,26,178,22.40625,12.09375,32,14,8,34,42,48,0,11,46,73,51,80,128,344,37.2,33.9,85.0,44.4,48.8,53.2,26.5,197,10.7,-11,410,117.0,122.5,-5.5,104.1,115.7,-11.6,-0.2,0.6,0.5,-4.7,-0.8,-3.9,-1.1,0.4375,1,10.590909090909092,10.0
Jackson E.,2024-2025,35,190,15.0,3.6363636363636362,22,7,8,24,32,14,0,5,12,37,8,12,30,87,34.5,25.0,100.0,46.2,41.4,44.0,15.2,39,4.8,-54,103,108.0,115.6,-7.6,91.3,108.8,-17.5,-0.3,0.5,0.2,-6.5,-5.0,-1.5,-0.8,0.3181818181818182,8,6.75,4.7
