PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,GP_RATE,PREV_PPG,PREV_PPG_2,PPG_TREND,PREV_USG%,PREV_GP,PPG_ROLL3,USG_ROLL3,TS_ROLL3,NET_ROLL3,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
Caleb Martin,2023-24,28.0,195.58,27.4,10.0,64,36,4.4,2.2,0.431,0.531,0.168,1.9,0.042,0.119,0.118,0.563,1.0,0.7804878048780488,9.6,9.2,0.40000000000000036,0.143,71.0,7.933333333333333,0.155,0.5489999999999999,0.2666666666666662,2.299999999999999,5,7.9,9.0
Cam Reddish,2023-24,24.0,200.66,20.5,5.400000000000001,48,27,2.1,1.0,0.389,0.504,0.123,-2.7999999999999994,0.028,0.071,0.062,0.563,3.0,0.5853658536585366,9.7,10.1,-4.299999999999998,0.166,40.0,10.333333333333334,0.18733333333333335,0.5306666666666667,-7.6000000000000005,-0.7500000000000013,5,3.2,6.2
Cam Thomas,2023-24,22.0,190.5,31.400000000000002,22.5,66,23,3.2,2.9,0.442,0.554,0.296,-5.2,0.013,0.089,0.151,0.348,5.0,0.8048780487804879,10.6,8.5,11.9,0.268,57.0,9.55,0.24,0.5429999999999999,-4.0,2.0999999999999983,3,24.0,20.3
Cam Whitmore,2023-24,19.0,200.66,18.7,12.3,47,19,3.8,0.7,0.454,0.561,0.255,-1.0,0.044000000000000004,0.148,0.058,0.40399999999999997,8.0,0.573170731707317,12.3,12.3,0.0,0.255,47.0,12.3,0.255,0.561,-1.0,0.0,1,9.4,13.8
Cameron Johnson,2023-24,28.0,203.2,27.6,13.4,58,21,4.3,2.4,0.44600000000000006,0.582,0.19,-3.4,0.032,0.124,0.129,0.362,1.0,0.7073170731707317,15.5,12.5,-2.0999999999999996,0.202,42.0,12.533333333333333,0.17766666666666667,0.6016666666666667,6.166666666666667,2.949999999999999,5,18.8,12.2
Cameron Payne,2023-24,29.0,190.5,16.7,7.4,78,46,1.5,2.6,0.432,0.566,0.185,-0.8,0.016,0.073,0.22199999999999998,0.59,2.0,0.9512195121951219,10.3,10.8,-2.9000000000000004,0.239,48.0,9.833333333333334,0.22233333333333336,0.5379999999999999,6.066666666666666,0.9499999999999994,9,6.9,7.8
Caris LeVert,2023-24,29.0,198.12,28.8,14.0,68,38,4.1,5.1,0.421,0.524,0.224,2.8,0.02,0.121,0.258,0.559,2.0,0.8292682926829268,12.1,17.0,1.9000000000000004,0.183,74.0,16.433333333333334,0.238,0.534,0.8333333333333334,-4.049999999999999,8,12.1,12.8
Cason Wallace,2023-24,20.0,190.5,20.6,6.800000000000001,82,57,2.3,1.5,0.491,0.612,0.127,3.9000000000000004,0.032,0.077,0.092,0.695,7.0,1.0,6.800000000000001,6.800000000000001,0.0,0.127,82.0,6.800000000000001,0.127,0.612,3.9000000000000004,0.0,1,8.4,10.0
Charles Bassey,2023-24,23.0,208.28,10.8,3.3,19,3,4.0,1.1,0.725,0.739,0.10999999999999999,-11.6,0.102,0.265,0.136,0.158,4.0,0.23170731707317074,5.7,3.0,-2.4000000000000004,0.152,35.0,4.35,0.152,0.659,-5.6000000000000005,2.699999999999999,3,4.4,3.9
Chet Holmgren,2023-24,22.0,215.89999999999998,29.399999999999995,16.5,82,57,7.900000000000001,2.4,0.53,0.632,0.21,9.0,0.05600000000000001,0.198,0.11200000000000002,0.695,5.0,1.0,16.5,16.5,0.0,0.21,82.0,16.5,0.21,0.632,9.0,0.0,1,15.0,17.9
Chris Boucher,2023-24,31.0,205.74,14.1,6.4,50,16,4.1,0.5,0.507,0.625,0.16699999999999998,2.4,0.084,0.20200000000000004,0.044,0.32,4.0,0.6097560975609756,9.4,9.4,-3.0,0.175,76.0,10.800000000000002,0.18299999999999997,0.598,2.6,-2.0999999999999996,7,10.0,4.8
Chris Duarte,2023-24,27.0,195.58,12.2,3.9,59,35,1.8,0.7,0.381,0.512,0.146,-3.1,0.034,0.113,0.082,0.5929999999999999,0.0,0.7195121951219512,7.9,13.1,-4.0,0.18100000000000002,46.0,10.5,0.194,0.5165,-4.1,-5.199999999999999,3,2.1,5.3
Chris Paul,2023-24,39.0,182.88,26.4,9.2,58,33,3.9,6.8,0.441,0.544,0.154,2.8,0.011,0.126,0.342,0.569,12.0,0.7073170731707317,13.9,14.7,-4.700000000000001,0.195,59.0,15.0,0.20433333333333334,0.5783333333333333,6.266666666666667,-1.2499999999999971,19,8.8,8.3
Christian Braun,2023-24,23.0,198.12,20.2,7.300000000000001,82,57,3.7000000000000006,1.6000000000000003,0.45999999999999996,0.554,0.152,0.7,0.046,0.126,0.10900000000000001,0.695,4.0,1.0,4.7,4.7,2.6000000000000005,0.127,76.0,4.7,0.127,0.568,-4.3,0.0,2,15.400000000000002,8.3
Chuma Okeke,2023-24,25.0,200.66,9.2,2.3,47,24,1.6999999999999997,0.4,0.357,0.465,0.131,-7.299999999999999,0.039,0.145,0.076,0.511,2.0,0.573170731707317,4.7,8.6,-2.4000000000000004,0.121,27.0,7.033333333333334,0.14066666666666666,0.5,-8.933333333333334,-1.5499999999999996,4,5.9,3.5
Clint Capela,2023-24,30.0,208.28,25.8,11.5,73,33,10.6,1.2,0.571,0.59,0.167,-0.1,0.157,0.232,0.067,0.452,3.0,0.8902439024390244,12.0,11.1,-0.5,0.151,65.0,12.766666666666666,0.16433333333333333,0.6203333333333334,2.933333333333333,-1.6000000000000003,10,8.9,9.7
Coby White,2023-24,24.0,195.58,36.5,19.1,79,37,4.5,5.1,0.447,0.57,0.22400000000000003,-0.7,0.015000000000000001,0.11,0.204,0.468,3.0,0.9634146341463414,9.7,12.7,9.400000000000002,0.17,74.0,12.5,0.19466666666666668,0.5586666666666666,0.033333333333333215,-2.699999999999998,5,20.4,18.4
Cody Martin,2023-24,28.0,198.12000000000003,26.9,7.5,28,7,3.9,3.7,0.38099999999999995,0.46,0.157,-10.5,0.024,0.124,0.192,0.25,1.0,0.34146341463414637,5.0,7.700000000000001,2.5,0.121,7.0,5.566666666666667,0.12133333333333333,0.509,-2.8666666666666667,0.5000000000000003,5,6.8,5.7
Colby Jones,2023-24,22.0,198.12,6.4,2.1,30,15,1.3,0.7,0.394,0.422,0.178,1.5,0.076,0.11999999999999998,0.159,0.5,5.0,0.36585365853658536,2.1,2.1,0.0,0.178,30.0,2.1,0.178,0.422,1.5,0.0,1,4.0,4.2
Cole Anthony,2023-24,24.0,187.96,22.4,11.6,81,47,3.8000000000000003,2.9,0.435,0.545,0.232,2.6,0.036,0.14,0.19999999999999998,0.58,3.0,0.9878048780487805,13.0,16.3,-1.4000000000000004,0.209,60.0,14.066666666666668,0.22966666666666666,0.5283333333333333,-6.1000000000000005,0.049999999999999385,4,9.4,13.1
Collin Gillespie,2023-24,25.0,185.42,9.4,3.6,24,15,0.9,1.1,0.464,0.586,0.166,2.5,0.004,0.085,0.164,0.625,2.0,0.2926829268292683,3.6,3.6,0.0,0.166,24.0,3.6,0.166,0.586,2.5,0.0,1,5.9,4.7
Collin Sexton,2023-24,25.0,190.5,26.6,18.7,78,29,2.6,4.9,0.487,0.607,0.267,-3.4,0.033,0.064,0.283,0.372,2.0,0.9512195121951219,14.300000000000002,16.0,4.399999999999997,0.23,48.0,18.2,0.26,0.5706666666666667,-4.966666666666666,-4.999999999999999,6,18.4,17.9
Corey Kispert,2023-24,25.0,198.12,25.8,13.4,80,15,2.8,2.0,0.48599999999999993,0.62,0.191,-10.7,0.014000000000000002,0.091,0.11100000000000002,0.188,2.0,0.975609756097561,11.1,8.2,2.3000000000000007,0.139,74.0,9.649999999999999,0.1405,0.6214999999999999,-1.55,2.8999999999999977,3,11.6,10.9
Cory Joseph,2023-24,32.0,187.96,11.400000000000002,2.4,26,10,1.2,1.6,0.359,0.47,0.108,-3.0,0.019,0.08299999999999999,0.174,0.385,5.0,0.3170731707317073,6.9,8.0,-4.5,0.149,62.0,7.7,0.14966666666666664,0.5643333333333334,-5.333333333333333,-0.649999999999999,13,3.5,2.7
Craig Porter Jr.,2023-24,24.0,185.42,12.7,5.6,51,30,2.1,2.3,0.509,0.564,0.201,-1.6,0.035,0.138,0.265,0.588,3.0,0.6219512195121951,5.6,5.6,0.0,0.201,51.0,5.6,0.201,0.564,-1.6,0.0,1,3.7,6.8
D'Angelo Russell,2023-24,28.0,190.5,32.7,18.0,76,46,3.1,6.3,0.45599999999999996,0.588,0.222,2.6,0.012,0.079,0.261,0.605,1.0,0.926829268292683,17.8,18.1,0.1999999999999993,0.225,71.0,18.3,0.2513333333333333,0.5680000000000001,-0.26666666666666633,-0.6000000000000002,9,12.6,17.0
Dalano Banton,2023-24,24.0,203.2,19.4,10.3,54,24,3.3,2.4,0.404,0.504,0.25,-10.2,0.036,0.13,0.2,0.444,3.0,0.6585365853658537,4.6,3.2,5.700000000000001,0.229,31.0,3.9,0.194,0.484,-2.5,1.3999999999999986,3,8.3,9.4
Dalen Terry,2023-24,21.0,200.66,11.5,3.1,59,27,1.9,1.4,0.439,0.512,0.127,2.2,0.042,0.124,0.151,0.458,6.0,0.7195121951219512,2.2,2.2,0.8999999999999999,0.173,38.0,2.2,0.173,0.523,3.3,0.0,2,4.5,6.5
Damian Lillard,2023-24,33.0,187.96,35.3,24.3,73,48,4.4,7.0,0.424,0.59,0.274,6.9,0.014,0.102,0.284,0.658,6.0,0.8902439024390244,32.2,24.0,-7.900000000000002,0.331,58.0,28.333333333333332,0.3083333333333333,0.606,1.4333333333333336,1.6999999999999986,12,24.9,23.1
Daniel Gafford,2023-24,25.0,208.28,24.5,11.0,74,30,7.6,1.6,0.725,0.731,0.145,-2.2,0.105,0.186,0.083,0.405,2.0,0.9024390243902439,9.0,9.4,2.0,0.146,78.0,8.466666666666667,0.15566666666666665,0.7146666666666667,-1.7666666666666668,1.0000000000000007,5,12.3,9.4
Daniel Theis,2023-24,32.0,203.2,16.9,6.3,60,38,4.1,1.0,0.532,0.597,0.15,2.4,0.084,0.15,0.081,0.6330000000000001,5.0,0.7317073170731707,7.0,8.2,-0.7000000000000002,0.201,7.0,8.266666666666666,0.17233333333333334,0.5670000000000001,-4.466666666666666,-1.300000000000001,7,4.3,5.3
Dante Exum,2023-24,28.0,195.58,19.8,7.8,55,36,2.7,2.9,0.533,0.645,0.14799999999999996,10.3,0.023,0.10799999999999998,0.181,0.655,1.0,0.6707317073170732,3.7999999999999994,4.5,4.0,0.119,6.0,5.066666666666666,0.157,0.5066666666666667,-0.6666666666666671,-1.5500000000000012,7,8.7,7.2
