PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,STL,BLK,TOV,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,PREV_PPG,PREV_PPG_2,PREV_USG%,PREV_GP,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
Jordan McLaughlin,2023-24,28.0,182.87999999999997,11.2,3.5,56,35,1.3,2.0,0.6,0.1,0.3,0.483,0.638,0.119,11.0,0.029,0.087,0.229,0.625,1.0,3.6999999999999997,3.8,0.112,43.0,-0.6500000000000008,5,2.1,3.6
Jordan Poole,2023-24,25.0,193.04,30.1,17.4,78,15,2.7,4.4,1.1,0.3,2.4,0.413,0.529,0.256,-11.1,0.013,0.074,0.21199999999999997,0.192,2.0,20.4,18.5,0.282,82.0,4.1999999999999975,5,20.5,15.5
Jose Alvarado,2023-24,26.0,182.87999999999997,18.4,7.1,56,38,2.3,2.1,1.1,0.3,0.7,0.412,0.54,0.168,12.0,0.024,0.096,0.154,0.679,1.0,9.0,6.1,0.191,61.0,2.8999999999999977,3,10.3,9.0
Josh Giddey,2023-24,21.0,203.2,25.1,12.3,80,56,6.4,4.8,0.7,0.6,2.1,0.475,0.547,0.223,8.2,0.05800000000000001,0.19,0.252,0.7,6.0,16.6,12.5,0.23899999999999996,76.0,4.099999999999999,3,14.6,16.0
Josh Green,2023-24,23.0,195.58,26.4,8.2,57,32,3.2,2.3,0.8,0.2,1.1,0.4789999999999999,0.588,0.129,-2.1,0.026,0.096,0.111,0.561,4.0,9.1,4.8,0.14,60.0,3.2499999999999996,4,7.4,9.3
Josh Hart,2023-24,29.0,193.04,33.4,9.4,81,49,8.3,4.1,0.9,0.3,1.5,0.43399999999999994,0.522,0.133,6.6000000000000005,0.046,0.20500000000000002,0.164,0.605,2.0,9.8,14.9,0.124,76.0,0.30000000000000104,7,13.600000000000001,9.3
Josh Okogie,2023-24,25.0,193.04,16.0,4.6,60,37,2.6,1.1,0.8,0.4,0.6,0.417,0.552,0.125,1.3,0.079,0.081,0.091,0.6169999999999999,2.0,7.300000000000001,2.7,0.174,72.0,0.9499999999999994,6,7.1,6.5
Jrue Holiday,2023-24,34.0,193.04,32.8,12.5,69,53,5.4,4.8,0.9,0.8,1.8,0.48,0.597,0.161,9.7,0.038,0.117,0.196,0.768,7.0,19.3,18.3,0.244,67.0,0.8000000000000028,15,11.1,12.6
Julian Champagnie,2023-24,23.0,200.66,19.8,6.8,74,19,2.8,1.4,0.6,0.6,0.8,0.408,0.57,0.14,-4.5,0.028,0.111,0.093,0.257,4.0,9.7,9.7,0.181,17.0,0.0,2,9.9,6.7
Julian Phillips,2023-24,20.0,203.2,8.1,2.2,40,20,0.9,0.3,0.2,0.2,0.3,0.41600000000000004,0.521,0.121,0.4,0.035,0.077,0.052000000000000005,0.5,7.0,2.2,2.2,0.121,40.0,0.0,1,4.6,4.9
Julian Strawther,2023-24,22.0,198.12,10.9,4.5,50,34,1.2,0.9,0.3,0.1,0.5,0.369,0.482,0.193,-9.8,0.008,0.096,0.12300000000000001,0.68,5.0,4.5,4.5,0.193,50.0,0.0,1,9.0,6.6
Julius Randle,2023-24,29.0,203.2,35.4,24.0,46,29,9.2,5.0,0.5,0.3,3.5,0.472,0.569,0.287,6.0,0.059,0.198,0.217,0.63,2.0,25.1,20.1,0.288,77.0,0.4999999999999966,10,18.7,22.2
Justin Champagnie,2023-24,23.0,198.12,15.7,5.9,15,3,3.5,1.3,0.7,0.6,0.7,0.41,0.526,0.162,-11.1,0.07,0.141,0.112,0.2,4.0,2.2,2.3,0.188,5.0,-0.0999999999999999,3,8.8,5.6
Jusuf Nurkić,2023-24,29.0,213.36,27.3,10.9,76,48,11.0,4.0,1.1,1.1,2.3,0.51,0.559,0.187,9.2,0.115,0.284,0.186,0.632,2.0,13.3,15.0,0.218,52.0,0.8999999999999986,10,8.9,10.8
