PLAYER,SEASON,AGE,HEIGHT,MPG,PPG,GP,W,TRB,AST,STL,BLK,TOV,FG%,TS%,USG%,NET_RATING,OREB_PCT,DREB_PCT,AST_PCT,WIN_RATE,PEAK_AGE_DIST,PREV_PPG,PREV_PPG_2,PREV_USG%,PREV_GP,PPG_MOMENTUM,CAREER_SEASON_NUM,REALE_NEXT_PPG,PREDIZIONE
KJ Martin,2023-24,23.0,198.12,12.4,3.7,60,33,2.2,0.9,0.4,0.2,0.5,0.536,0.563,0.127,0.2,0.052,0.11999999999999998,0.094,0.55,4.0,12.699999999999998,8.8,0.16,82.0,1.6999999999999975,4,6.3999999999999995,6.2
Karl-Anthony Towns,2023-24,28.0,213.36,32.7,21.8,62,42,8.3,3.0,0.7,0.7,2.9,0.504,0.625,0.268,7.2,0.05,0.204,0.147,0.677,1.0,20.8,24.6,0.25,29.0,-1.999999999999996,9,24.4,21.4
Kawhi Leonard,2023-24,33.0,200.66,34.3,23.7,68,44,6.1,3.6,1.6,0.9,1.8,0.525,0.626,0.261,8.2,0.039,0.138,0.165,0.647,6.0,23.800000000000004,24.800000000000004,0.267,52.0,-1.649999999999999,12,21.5,23.3
Keegan Murray,2023-24,23.0,203.2,33.6,15.199999999999998,77,43,5.5,1.7000000000000002,1.0,0.8,0.8,0.45399999999999996,0.569,0.178,2.7,0.039,0.126,0.068,0.558,4.0,12.2,12.2,0.156,80.0,0.0,2,12.4,17.2
Keldon Johnson,2023-24,24.0,195.58,29.5,15.7,69,17,5.5,2.8,0.7,0.3,1.4,0.454,0.565,0.212,-7.700000000000001,0.043,0.135,0.142,0.246,3.0,22.0,17.0,0.273,63.0,4.599999999999995,5,12.7,15.5
Kelly Olynyk,2023-24,33.0,210.82,22.5,9.8,78,31,5.3,4.4,0.9,0.4,1.9,0.555,0.661,0.171,-7.3,0.061,0.169,0.275,0.397,6.0,12.5,9.1,0.176,68.0,-0.5000000000000024,11,8.7,7.2
Kelly Oubre Jr.,2023-24,28.0,200.66,30.2,15.4,68,40,5.0,1.5,1.1,0.7,1.3,0.441,0.535,0.22,0.1,0.043,0.121,0.072,0.588,1.0,20.3,15.0,0.257,48.0,2.4500000000000006,9,15.1,15.6
Kenrich Williams,2023-24,29.0,198.12,14.900000000000002,4.7,69,49,3.0,1.3,0.6,0.1,0.5,0.468,0.568,0.132,8.4,0.06199999999999999,0.14,0.12,0.71,2.0,8.0,7.4,0.134,53.0,-9.9251583857631e-16,6,6.3,5.8
Kentavious Caldwell-Pope,2023-24,31.0,195.58,31.599999999999998,10.1,76,54,2.4,2.4,1.3,0.6,1.0,0.46,0.602,0.126,11.3,0.014,0.062,0.09,0.711,4.0,10.8,13.2,0.136,76.0,0.5500000000000012,11,8.7,9.5
Keon Ellis,2023-24,24.0,190.5,17.2,5.4,57,33,2.2,1.5,0.9,0.5,0.6,0.461,0.627,0.123,5.5,0.031,0.094,0.115,0.579,3.0,1.5,1.5,0.124,16.0,0.0,2,8.3,7.3
Kessler Edwards,2023-24,23.0,200.66,5.1,1.7,54,32,0.8,0.3,0.2,0.1,0.1,0.415,0.541,0.134,-6.3,0.029,0.126,0.084,0.593,4.0,2.8,5.900000000000001,0.119,36.0,-3.100000000000002,3,4.2,4.8
Kevin Durant,2023-24,35.0,210.82,37.2,27.1,75,44,6.6,5.0,0.9,1.2,3.3,0.523,0.626,0.283,4.8,0.016,0.155,0.213,0.587,8.0,29.1,29.9,0.305,47.0,1.1000000000000005,16,26.6,25.0
Kevin Huerter,2023-24,25.0,200.66,24.4,10.2,64,37,3.5,2.6,0.7,0.4,0.8,0.443,0.564,0.173,2.5,0.024,0.124,0.138,0.578,2.0,15.2,12.1,0.197,75.0,1.6499999999999995,6,9.9,11.5
Kevin Love,2023-24,35.0,203.2,16.8,8.8,55,31,6.1,2.1,0.3,0.2,0.9,0.44,0.597,0.21,6.5,0.062,0.295,0.189,0.564,8.0,8.2,13.6,0.185,62.0,-2.0,16,5.3,7.4
Kevon Looney,2023-24,28.0,205.74,16.1,4.5,74,43,5.7,1.8000000000000003,0.4,0.4,0.7,0.597,0.62,0.11000000000000001,1.4,0.11599999999999999,0.222,0.148,0.581,1.0,7.0,6.0,0.10400000000000001,82.0,1.4500000000000006,9,4.5,4.7
Keyonte George,2023-24,20.0,193.04,27.0,13.0,75,27,2.8,4.4,0.5,0.1,2.5,0.391,0.533,0.224,-9.3,0.007,0.095,0.24400000000000002,0.36,7.0,13.0,13.0,0.224,75.0,0.0,1,16.8,15.2
Khris Middleton,2023-24,32.0,200.66,27.0,15.1,55,31,4.7,5.3,0.9,0.3,2.3,0.493,0.595,0.23,3.4,0.026999999999999996,0.134,0.272,0.564,5.0,15.1,20.1,0.259,33.0,-2.649999999999997,12,11.9,13.6
Klay Thompson,2023-24,34.0,198.12,29.700000000000003,17.9,77,41,3.3,2.3,0.6,0.5,1.5,0.43200000000000005,0.576,0.234,-0.3,0.015000000000000001,0.093,0.11000000000000001,0.532,7.0,21.9,20.4,0.256,69.0,0.19999999999999848,11,14.0,15.1
Kobe Brown,2023-24,24.0,200.65999999999997,9.0,2.0,44,27,1.4,0.6,0.3,0.1,0.2,0.411,0.49,0.104,-10.5,0.046,0.105,0.085,0.614,3.0,2.0,2.0,0.104,44.0,0.0,1,1.9,4.0
Kris Dunn,2023-24,30.0,190.5,18.9,5.4,66,25,2.9,3.8,1.0,0.4,1.2,0.47,0.546,0.132,0.4,0.039,0.109,0.25,0.379,3.0,13.2,7.6,0.195,22.0,5.949999999999999,8,6.4,6.3
Kris Murray,2023-24,23.0,203.2,21.7,6.1,62,12,3.6,1.3,0.9,0.3,0.9,0.396,0.481,0.136,-6.0,0.057,0.107,0.083,0.194,4.0,6.1,6.1,0.136,62.0,0.0,1,4.2,5.7
Kristaps Porziņģis,2023-24,28.0,218.44,29.6,20.1,57,43,7.2,2.0,0.7,1.9,1.6,0.516,0.6469999999999999,0.247,11.2,0.059,0.163,0.098,0.754,1.0,23.2,20.2,0.272,65.0,1.5500000000000025,8,19.5,20.3
Kyle Anderson,2023-24,30.0,205.74,22.6,6.4,79,55,3.5,4.2,0.9000000000000001,0.6,1.2,0.46,0.513,0.14,5.1,0.034,0.11599999999999999,0.264,0.696,3.0,9.4,7.6,0.143,69.0,-1.4999999999999991,10,5.9,6.4
Kyle Kuzma,2023-24,28.0,205.74,32.6,22.2,70,13,6.6,4.2,0.5,0.7,2.7,0.4630000000000001,0.547,0.295,-11.0,0.026,0.17,0.201,0.186,1.0,21.2,17.1,0.273,64.0,4.15,7,14.8,18.4
Kyle Lowry,2023-24,38.0,182.88,28.2,8.1,60,32,3.2,4.2,1.0,0.4,1.4,0.432,0.594,0.128,-0.3,0.02,0.098,0.212,0.533,11.0,11.2,13.4,0.162,55.0,-2.9999999999999996,18,3.9,6.0
Kyrie Irving,2023-24,32.0,187.96,35.0,25.6,58,39,5.0,5.2,1.3,0.5,1.8,0.497,0.6079999999999999,0.274,6.9,0.020999999999999998,0.116,0.225,0.6719999999999999,5.0,27.1,27.4,0.286,60.0,0.09999999999999884,13,24.7,24.5
LaMelo Ball,2023-24,22.0,200.65999999999997,32.3,23.9,22,7,5.1,8.0,1.8,0.2,3.8,0.433,0.561,0.315,-8.4,0.038,0.12200000000000001,0.3950000000000001,0.318,5.0,23.3,20.1,0.289,36.0,3.799999999999999,4,25.199999999999996,25.4
Landry Shamet,2023-24,27.0,193.04,15.8,7.1,46,6,1.3,1.2,0.5,0.2,0.7,0.431,0.556,0.18100000000000002,-9.9,0.021,0.065,0.104,0.13,0.0,8.7,8.3,0.186,40.0,-0.2999999999999994,6,5.7,5.5
Larry Nance Jr.,2023-24,31.0,203.2,19.9,5.7,61,34,5.0,1.9,1.0,0.3,0.8,0.573,0.653,0.112,3.3,0.079,0.176,0.129,0.557,4.0,6.8,7.0,0.118,65.0,-1.2500000000000004,9,8.5,4.7
Lauri Markkanen,2023-24,27.0,213.36,33.1,23.2,55,22,8.2,2.0,0.9,0.5,1.4,0.48,0.631,0.241,0.6,0.065,0.176,0.09,0.4,0.0,25.6,14.8,0.259,66.0,5.9999999999999964,7,19.0,21.7
LeBron James,2023-24,39.0,205.74,35.3,25.7,71,41,7.299999999999999,8.3,1.3,0.5,3.5,0.54,0.63,0.285,3.8000000000000003,0.026,0.172,0.358,0.577,12.0,28.9,30.3,0.322,55.0,1.9499999999999986,21,24.4,24.5
Lindy Waters III,2023-24,26.0,198.12,7.3999999999999995,3.6,38,25,1.1,0.6,0.1,0.2,0.2,0.471,0.653,0.167,-7.7,0.024,0.11300000000000002,0.132,0.658,1.0,5.2,8.0,0.148,41.0,-2.800000000000001,3,4.9,6.3
Lonnie Walker IV,2023-24,25.0,193.04,17.4,9.7,58,23,2.2,1.3,0.6,0.3,0.9,0.423,0.545,0.235,-0.6,0.013,0.11,0.113,0.397,2.0,11.7,12.1,0.198,56.0,0.25000000000000155,6,12.4,9.6
Luguentz Dort,2023-24,25.0,193.04,28.4,10.9,79,54,3.6000000000000005,1.4,0.9000000000000001,0.6,0.9000000000000001,0.43799999999999994,0.593,0.152,7.799999999999999,0.035,0.089,0.061,0.684,2.0,13.7,17.2,0.194,74.0,-0.14999999999999927,5,10.1,12.5
Luka Dončić,2023-24,25.0,200.66,37.5,33.9,70,46,9.2,9.8,1.4,0.5,4.0,0.48699999999999993,0.617,0.355,5.8,0.022,0.218,0.428,0.657,2.0,32.4,28.4,0.368,66.0,2.3499999999999956,6,28.2,30.3
Luka Garza,2023-24,25.0,208.28,4.9,4.0,25,17,1.2,0.2,0.2,0.0,0.2,0.48,0.576,0.278,-0.6,0.129,0.105,0.05,0.68,2.0,6.5,5.8,0.24499999999999997,28.0,0.6999999999999992,3,3.5,6.9
Luke Kennard,2023-24,28.0,195.58,25.6,11.0,39,15,2.9,3.5,0.5,0.1,1.4,0.448,0.641,0.166,-8.8,0.011,0.105,0.21199999999999997,0.385,1.0,9.3,11.9,0.144,59.0,0.5000000000000004,7,8.9,8.4
Luke Kornet,2023-24,28.0,215.9,15.6,5.3,63,48,4.1,1.1,0.4,1.0,0.3,0.7,0.736,0.107,12.1,0.117,0.141,0.089,0.762,1.0,3.8,2.0,0.111,69.0,0.1999999999999992,7,6.0,4.2
Malaki Branham,2023-24,21.0,193.04,21.3,9.2,75,18,2.0,2.1,0.4,0.1,1.2,0.432,0.526,0.192,-11.1,0.016,0.074,0.142,0.24,6.0,10.2,10.2,0.188,66.0,0.0,2,5.0,9.9
Malcolm Brogdon,2023-24,31.0,193.04,28.7,15.7,39,15,3.8,5.5,0.7,0.2,1.5,0.44,0.56,0.226,-3.7,0.024,0.108,0.301,0.385,4.0,14.9,19.1,0.223,67.0,-3.15,8,12.699999999999998,14.4
Malik Beasley,2023-24,27.0,193.04,29.6,11.3,79,46,3.7,1.4,0.7,0.1,0.7,0.443,0.603,0.142,5.8,0.017,0.098,0.059,0.582,0.0,12.700000000000001,12.1,0.207,81.0,-3.4500000000000024,8,16.3,10.3
Malik Monk,2023-24,26.0,190.5,26.0,15.399999999999999,72,42,2.9,5.1,0.6,0.5,2.1,0.443,0.564,0.247,0.1,0.014,0.101,0.29,0.583,1.0,13.5,13.799999999999999,0.24699999999999997,77.0,0.9000000000000001,7,17.2,15.6
MarJon Beauchamp,2023-24,23.0,200.66,12.699999999999998,4.4,48,30,2.1,0.6,0.3,0.10000000000000002,0.6,0.488,0.592,0.141,-1.0,0.037,0.123,0.067,0.625,4.0,5.1,5.1,0.175,52.0,0.0,2,2.3,6.5
Marcus Sasser,2023-24,23.0,187.96,19.0,8.3,71,11,1.8,3.3,0.6,0.2,1.3,0.428,0.542,0.195,-8.7,0.008,0.085,0.263,0.155,4.0,8.3,8.3,0.195,71.0,0.0,1,6.6,7.8
Marcus Smart,2023-24,30.0,190.5,30.2,14.5,20,7,2.7,4.3,2.1,0.3,3.1,0.43,0.552,0.225,-0.8,0.009,0.073,0.211,0.35,3.0,11.5,12.1,0.176,61.0,-0.8000000000000009,10,9.0,10.6
Mark Williams,2023-24,22.0,213.36,26.8,12.7,19,7,9.7,1.2,0.8,1.1,0.9,0.649,0.675,0.162,-1.2,0.143,0.209,0.059,0.368,5.0,9.0,9.0,0.168,43.0,0.0,2,15.3,11.9
Markelle Fultz,2023-24,26.0,193.04,21.2,7.8,43,25,3.1999999999999997,2.8,1.0,0.3,1.2,0.472,0.492,0.182,0.6,0.062,0.094,0.194,0.581,1.0,14.0,10.8,0.208,60.0,0.5500000000000005,7,2.9,9.0
Marvin Bagley III,2023-24,25.0,208.28,21.1,11.7,50,7,6.2,1.1,0.4,0.7,1.2,0.586,0.629,0.204,-6.0,0.11899999999999998,0.175,0.079,0.14,2.0,12.0,11.300000000000002,0.202,42.0,-1.0499999999999998,6,4.4,9.7
Mason Plumlee,2023-24,34.0,208.27999999999997,14.7,5.3,46,29,5.1,1.2,0.3,0.4,0.8,0.569,0.621,0.147,0.3,0.09,0.244,0.107,0.63,7.0,10.8,6.5,0.149,79.0,0.19999999999999804,11,4.5,4.9
Max Christie,2023-24,21.0,195.58,14.1,4.2,67,38,2.1,0.9,0.3,0.3,0.5,0.427,0.544,0.132,-1.1,0.017,0.122,0.084,0.567,6.0,3.1,3.1,0.10000000000000002,41.0,0.0,2,9.6,7.1
Max Strus,2023-24,28.0,195.58,32.0,12.2,70,43,4.8,4.0,0.9,0.4,1.6,0.418,0.553,0.167,5.6,0.030000000000000002,0.11700000000000002,0.166,0.614,1.0,11.5,10.6,0.17,80.0,2.700000000000001,5,9.4,12.0
Maxi Kleber,2023-24,32.0,208.28000000000003,20.3,4.4,43,27,3.3000000000000003,1.5999999999999999,0.39999999999999997,0.7,0.7,0.432,0.573,0.096,6.6000000000000005,0.035,0.125,0.09900000000000002,0.628,5.0,5.9,7.0,0.1,37.0,-0.5999999999999993,7,3.0,3.5
Micah Potter,2023-24,26.0,205.74,11.6,3.3,16,3,2.7,0.4,0.3,0.4,0.3,0.475,0.609,0.109,-8.4,0.051,0.168,0.046,0.188,1.0,3.4,4.0,0.121,7.0,-0.6000000000000002,3,4.3,3.9
Michael Porter Jr.,2023-24,26.0,208.28,31.7,16.7,81,57,7.0,1.5,0.5,0.7,1.1,0.484,0.601,0.202,8.1,0.042,0.177,0.064,0.704,1.0,17.4,9.9,0.22,62.0,-0.8000000000000029,5,18.2,17.0
Mikal Bridges,2023-24,27.0,198.12,34.8,19.6,82,32,4.5,3.5999999999999996,1.0,0.4000000000000001,2.0,0.43600000000000005,0.56,0.238,-3.2999999999999994,0.022,0.105,0.163,0.39,0.0,20.1,14.199999999999998,0.223,83.0,3.300000000000002,6,17.6,17.5
Mike Conley,2023-24,36.0,182.88,28.900000000000002,11.4,76,53,2.9,5.9,1.2,0.2,1.3,0.457,0.627,0.157,5.7,0.018,0.081,0.29,0.697,9.0,11.9,13.7,0.161,67.0,-2.150000000000002,17,8.2,8.4
Miles Bridges,2023-24,26.0,200.66,37.4,21.0,69,17,7.3,3.3,0.9,0.5,2.0,0.462,0.556,0.242,-12.1,0.027,0.176,0.146,0.246,1.0,20.2,12.7,0.22400000000000003,80.0,3.5999999999999974,5,20.3,18.5
Miles McBride,2023-24,23.0,185.42000000000002,19.5,8.3,68,42,1.5,1.7,0.7,0.1,0.4,0.452,0.59,0.164,0.0,0.022,0.053,0.131,0.618,4.0,3.5,2.2,0.141,64.0,1.299999999999999,3,9.5,9.6
Mo Bamba,2023-24,26.0,213.36,13.0,4.4,57,30,4.2,0.7,0.4,1.1,0.7,0.49,0.575,0.149,-3.0,0.095,0.218,0.083,0.526,1.0,6.6,10.6,0.166,49.0,-0.7000000000000005,6,4.3,6.3
Monte Morris,2023-24,29.0,187.96,14.4,5.0,33,21,1.7,2.1,0.6,0.3,0.2,0.405,0.508,0.151,9.4,0.014,0.105,0.199,0.636,2.0,10.3,12.6,0.155,62.0,0.05000000000000003,7,5.2,6.7
Moritz Wagner,2023-24,27.0,210.82,17.7,10.9,80,46,4.3,1.2,0.5,0.3,1.2,0.601,0.676,0.22000000000000003,3.1,0.087,0.168,0.10900000000000001,0.575,0.0,10.5,9.0,0.201,57.0,1.8000000000000007,6,12.9,11.1
Moses Moody,2023-24,22.0,195.58,17.5,8.1,66,38,3.0,0.9,0.6,0.4,0.7,0.462,0.578,0.176,3.1,0.052,0.108,0.07,0.576,5.0,4.8,4.4,0.141,63.0,0.3999999999999984,3,9.8,10.4
Myles Turner,2023-24,28.0,210.82,27.0,17.1,77,45,6.900000000000001,1.3,0.5,1.8999999999999997,1.4,0.524,0.626,0.234,5.1,0.056,0.198,0.065,0.584,1.0,18.0,12.900000000000002,0.225,62.0,2.699999999999999,9,15.600000000000001,15.5
Naji Marshall,2023-24,26.0,198.12,19.0,7.1,66,41,3.6,1.9,0.7,0.2,1.0,0.463,0.576,0.158,8.7,0.042,0.142,0.139,0.621,1.0,9.1,5.7,0.172,77.0,0.7000000000000002,4,13.2,8.3
Nate Williams,2023-24,25.0,195.58,5.9,2.9,22,11,1.0,0.3,0.2,0.0,0.2,0.54,0.565,0.173,6.9,0.081,0.071,0.07,0.5,2.0,10.6,10.6,0.139,5.0,0.0,2,3.3,5.9
Naz Reid,2023-24,24.0,205.74000000000004,24.2,13.5,81,56,5.2,1.3,0.7999999999999999,0.9,1.4,0.477,0.595,0.22299999999999998,5.7,0.038,0.17,0.085,0.691,3.0,11.5,8.3,0.242,68.0,0.14999999999999897,5,14.2,15.3
Neemias Queta,2023-24,24.0,213.35999999999999,11.9,5.5,28,24,4.4,0.7,0.5,0.8,0.5,0.644,0.662,0.16,20.4,0.157,0.195,0.078,0.857,3.0,2.4,3.0,0.141,5.0,-0.6000000000000003,3,5.0,4.1
Nic Claxton,2023-24,25.0,210.82,29.800000000000004,11.8,71,27,9.9,2.1,0.6,2.1,1.3,0.629,0.629,0.156,-5.6,0.088,0.23899999999999996,0.107,0.38,2.0,12.6,8.7,0.155,76.0,3.0,5,10.3,11.0
Nick Richards,2023-24,26.0,213.36,26.2,9.7,67,14,8.0,0.8,0.4,1.1,1.1,0.691,0.717,0.131,-11.9,0.097,0.218,0.046,0.209,1.0,8.2,3.0,0.151,65.0,3.6999999999999984,4,9.3,7.9
Nick Smith Jr.,2023-24,20.0,187.96,14.3,5.9,51,9,1.4,1.2,0.2,0.1,0.8,0.39100000000000007,0.511,0.20200000000000004,-12.4,0.023,0.078,0.134,0.176,7.0,5.9,5.9,0.20200000000000004,51.0,0.0,1,9.9,6.6
Nickeil Alexander-Walker,2023-24,25.0,195.58,23.4,8.0,82,56,2.0,2.5,0.8000000000000002,0.5,0.8999999999999999,0.43899999999999995,0.578,0.143,7.599999999999999,0.019,0.066,0.145,0.683,2.0,6.2,10.6,0.177,59.0,-2.4,5,9.4,9.8
Nicolas Batum,2023-24,35.0,203.2,25.5,5.3,60,36,4.1,2.1,0.8,0.6,0.7,0.453,0.603,0.085,5.6,0.046,0.115,0.105,0.6,8.0,6.1,8.3,0.11099999999999999,78.0,-0.9999999999999992,16,4.0,4.5
Nikola Jokić,2023-24,29.0,210.82,34.6,26.4,79,55,12.4,9.0,1.4,0.9000000000000001,3.0,0.583,0.65,0.288,11.8,0.086,0.27,0.391,0.696,2.0,24.5,27.1,0.263,69.0,-0.9500000000000024,9,29.6,27.7
Nikola Jović,2023-24,21.0,208.27999999999997,19.5,7.7,46,24,4.2,2.0,0.5,0.3,0.9,0.452,0.583,0.171,7.8,0.029,0.18599999999999997,0.14,0.522,6.0,5.5,5.5,0.185,15.0,0.0,2,10.7,10.1
Nikola Vučević,2023-24,33.0,208.28,34.3,18.0,76,36,10.5,3.3,0.7,0.8,1.6,0.484,0.54,0.233,-3.1,0.08,0.229,0.153,0.47400000000000003,6.0,17.6,17.6,0.21800000000000003,82.0,-2.8999999999999964,13,18.5,15.0
Noah Clowney,2023-24,19.0,205.74,16.1,5.8,23,10,3.5,0.8,0.3,0.7,0.7,0.538,0.626,0.137,-6.9,0.066,0.146,0.074,0.43500000000000005,8.0,5.8,5.8,0.137,23.0,0.0,1,9.1,6.3
Norman Powell,2023-24,31.0,193.04,26.2,13.9,76,48,2.6,1.1,0.6,0.3,0.9,0.486,0.626,0.193,5.1,0.008,0.085,0.059,0.632,4.0,17.0,19.0,0.251,60.0,-0.8000000000000022,9,21.8,13.6
OG Anunoby,2023-24,26.0,200.66,34.0,14.7,50,31,4.2,2.1,1.4,0.7,1.6,0.489,0.595,0.17299999999999996,10.9,0.028000000000000004,0.091,0.084,0.62,1.0,16.8,17.1,0.192,67.0,0.45000000000000234,7,18.0,14.8
Obi Toppin,2023-24,26.0,205.74,21.1,10.3,82,47,3.9000000000000004,1.6000000000000003,0.6,0.5,0.8000000000000002,0.573,0.677,0.16,3.5999999999999996,0.048999999999999995,0.137,0.091,0.573,1.0,7.4,9.0,0.187,67.0,1.6499999999999995,4,10.5,10.2
Ochai Agbaji,2023-24,24.0,195.58,21.0,5.8,78,31,2.8,1.1,0.6,0.6,0.8,0.411,0.497,0.131,-7.1,0.044,0.083,0.068,0.397,3.0,7.9,7.9,0.154,59.0,0.0,2,10.4,6.2
Olivier-Maxence Prosper,2023-24,21.0,200.66,8.4,3.0,40,24,2.0,0.6,0.2,0.1,0.2,0.385,0.496,0.153,-13.2,0.062,0.153,0.095,0.6,6.0,3.0,3.0,0.153,40.0,0.0,1,3.8999999999999995,6.2
Onyeka Okongwu,2023-24,23.0,208.28,25.5,10.2,55,23,6.8,1.3,0.5,1.1,0.8,0.611,0.674,0.134,-0.9,0.099,0.169,0.071,0.418,4.0,9.9,8.2,0.15,80.0,2.649999999999999,4,13.4,10.0
Orlando Robinson,2023-24,23.0,208.28,8.4,2.8,36,20,2.3,0.8999999999999999,0.2,0.2,0.5,0.5,0.596,0.143,3.5,0.099,0.189,0.161,0.556,4.0,3.7,3.7,0.116,31.0,0.0,2,6.9,4.7
Ousmane Dieng,2023-24,21.0,205.74,11.1,4.0,33,21,1.5,1.1,0.2,0.2,0.6,0.422,0.54,0.167,1.1,0.027,0.105,0.144,0.636,6.0,4.9,4.9,0.154,39.0,0.0,2,3.8,6.7
P.J. Washington,2023-24,25.0,200.66,30.4,12.9,73,30,5.6,1.9,1.0,0.8,1.3,0.436,0.537,0.185,-2.8,0.037,0.147,0.087,0.411,2.0,15.7,10.3,0.2,73.0,1.3999999999999975,5,14.7,11.8
Paolo Banchero,2023-24,21.0,208.28000000000003,35.0,22.6,80,46,6.9,5.4,0.9,0.6,3.1,0.45499999999999996,0.546,0.292,0.0,0.029000000000000005,0.178,0.254,0.575,6.0,20.0,20.0,0.272,72.0,0.0,2,25.9,26.0
Pascal Siakam,2023-24,30.0,203.2,33.2,21.7,80,38,7.1,4.3,0.8,0.3,1.8,0.536,0.601,0.25,2.2,0.052000000000000005,0.159,0.189,0.475,3.0,24.2,22.8,0.27,71.0,1.4000000000000006,8,20.2,20.7
Pat Connaughton,2023-24,31.0,195.58,22.1,5.6,76,45,3.1,2.1,0.5,0.3,0.6,0.43500000000000005,0.574,0.10599999999999998,-0.8,0.03,0.112,0.12299999999999998,0.592,4.0,7.6,9.9,0.13299999999999998,61.0,0.4000000000000008,9,5.3,5.4
Patrick Baldwin Jr.,2023-24,21.0,205.74,13.0,4.4,38,6,3.2,0.8,0.5,0.4,0.5,0.381,0.502,0.153,-2.5,0.032,0.201,0.078,0.158,6.0,3.9,3.9,0.227,31.0,0.0,2,2.2,5.4
Patrick Williams,2023-24,22.0,200.65999999999997,27.3,10.0,43,19,3.9,1.5,0.9,0.7999999999999999,1.3,0.443,0.553,0.163,-1.2,0.039,0.105,0.077,0.442,5.0,10.2,9.0,0.156,82.0,0.4999999999999994,4,9.0,10.5
Patty Mills,2023-24,35.0,187.96,13.0,4.0,32,15,1.1,1.1,0.6,0.0,0.5,0.351,0.467,0.152,0.3,0.02,0.066,0.108,0.469,8.0,6.2,11.4,0.182,40.0,-2.3000000000000016,15,3.8,4.6
Paul George,2023-24,34.0,203.2,33.8,22.6,74,48,5.2,3.5,1.5,0.5,2.1,0.471,0.613,0.264,9.1,0.016,0.138,0.157,0.649,7.0,23.8,24.3,0.294,56.0,0.24999999999999886,14,16.2,21.9
Paul Reed,2023-24,25.0,205.74,19.4,7.300000000000001,82,47,6.0,1.3,0.8000000000000002,1.0,0.8000000000000002,0.54,0.58,0.156,4.2,0.11700000000000002,0.194,0.095,0.573,2.0,4.2,3.1,0.152,69.0,0.39999999999999986,4,4.1,7.8
Payton Pritchard,2023-24,26.0,185.42000000000002,22.3,9.6,82,64,3.2000000000000006,3.4000000000000004,0.5,0.10000000000000002,0.7,0.4680000000000001,0.597,0.168,13.600000000000001,0.038,0.103,0.20800000000000002,0.78,1.0,5.599999999999999,6.2,0.19299999999999998,48.0,-1.050000000000001,4,14.3,10.5
Peyton Watson,2023-24,21.0,200.66,18.6,6.7,80,56,3.2,1.1,0.5,1.1,0.7,0.465,0.539,0.16,-0.7,0.038,0.121,0.081,0.7,6.0,3.3,3.3,0.174,23.0,0.0,2,8.1,10.3
Precious Achiuwa,2023-24,24.0,203.2,21.9,7.6,74,40,6.6,1.3,0.6,0.9000000000000001,1.1,0.501,0.545,0.158,-1.0,0.111,0.182,0.088,0.541,3.0,9.2,9.1,0.18999999999999997,55.0,2.0999999999999996,4,6.6,8.6
Quentin Grimes,2023-24,24.0,195.58,20.1,7.0,51,32,2.0,1.3,0.7,0.1,0.5,0.37200000000000005,0.516,0.155,-0.9,0.012999999999999998,0.08,0.09399999999999999,0.627,3.0,11.3,6.0,0.142,71.0,5.299999999999999,3,14.6,7.6
RJ Barrett,2023-24,24.0,198.12,31.7,20.2,58,26,5.4,3.3,0.5,0.4,2.2,0.495,0.58,0.257,-3.3,0.028,0.14,0.159,0.448,3.0,19.6,20.0,0.256,73.0,0.9999999999999978,5,21.1,19.0
Rayan Rupert,2023-24,20.0,198.12,16.2,4.0,39,7,2.4,1.6,0.3,0.1,0.8,0.335,0.45100000000000007,0.131,-9.8,0.034,0.115,0.131,0.179,7.0,4.0,4.0,0.131,39.0,0.0,1,3.0,4.2
Reggie Jackson,2023-24,34.0,187.96,22.2,10.2,82,57,1.8999999999999997,3.7999999999999994,0.5,0.10000000000000002,1.3,0.431,0.521,0.20899999999999996,1.4,0.018,0.063,0.24,0.695,7.0,10.2,16.8,0.205,68.0,-0.2499999999999993,13,4.4,8.5
Richaun Holmes,2023-24,30.0,205.74,13.9,5.0,40,13,4.6,0.6,0.3,0.5,0.6,0.558,0.593,0.141,-7.7,0.11500000000000002,0.198,0.062,0.325,3.0,3.1000000000000005,10.4,0.132,42.0,-5.55,9,7.4,4.1
Ricky Council IV,2023-24,22.0,198.12,9.0,5.4,32,15,1.4,0.5,0.3,0.0,0.2,0.482,0.604,0.208,2.7,0.046,0.115,0.08,0.469,5.0,5.4,5.4,0.208,32.0,0.0,1,7.3,7.5
Royce O'Neale,2023-24,31.0,198.12,24.7,7.700000000000001,79,38,4.8,2.8,0.7,0.6,0.9000000000000001,0.397,0.548,0.134,3.2,0.028999999999999998,0.155,0.149,0.4809999999999999,4.0,8.8,7.400000000000001,0.136,76.0,0.8999999999999989,7,9.1,7.4
Rudy Gobert,2023-24,32.0,215.9,34.1,14.0,76,53,12.9,1.3,0.7,2.1,1.6,0.661,0.675,0.152,8.0,0.118,0.256,0.056999999999999995,0.697,5.0,13.4,15.599999999999998,0.161,70.0,-0.44999999999999835,11,12.0,12.9
Rui Hachimura,2023-24,26.0,203.2,26.8,13.6,68,40,4.3,1.2,0.6,0.4,0.7,0.537,0.628,0.182,2.5,0.034,0.121,0.061,0.588,1.0,11.2,11.3,0.194,63.0,-1.3000000000000005,5,13.1,13.6
