PLAYER,SEASON,AGE,MPG,PPG,TRB,AST,BLK,ST,TOV,PF,FTM,3PM,GP,W,+/-,WIN_RATE,PEAK_AGE_DIST,REALE_NEXT_PPG,PREDIZIONE
Milutinov N.,2024-2025,30,19.708333333333332,8.208333333333334,140,15,16,13,16,19,57,0,24,19,49,0.7916666666666666,3,10.5,8.9
Mirotic N.,2024-2025,34,27.466666666666665,17.7,192,59,10,30,56,53,150,61,30,15,120,0.5,7,11.03225806451613,14.6
Mitoglou K.,2024-2025,29,15.548387096774194,5.935483870967742,91,19,3,13,20,56,20,20,31,20,70,0.6451612903225806,2,5.333333333333333,6.6
Moneke C.,2024-2025,29,28.21212121212121,14.0,200,76,9,29,61,60,126,38,33,13,-61,0.3939393939393939,2,14.151515151515152,13.7
Morgan M.,2024-2025,27,18.58823529411765,7.823529411764706,59,87,1,18,34,67,74,36,34,9,-33,0.2647058823529412,0,13.470588235294118,7.5
Motiejunas D.,2024-2025,34,14.827586206896552,6.413793103448276,91,27,8,10,26,57,25,9,29,19,16,0.6551724137931034,7,6.148148148148148,6.4
Musa D.,2024-2025,26,22.275862068965516,12.724137931034482,84,63,5,12,51,36,93,40,29,19,73,0.6551724137931034,1,13.941176470588236,10.1
Ndiaye M.,2024-2025,26,19.571428571428573,7.214285714285714,41,11,8,9,15,28,12,13,14,7,-34,0.5,1,7.6875,7.4
Nedovic N.,2024-2025,34,18.384615384615383,9.038461538461538,38,76,2,12,34,49,34,45,26,15,97,0.5769230769230769,7,6.5,7.4
Ntilikina F.,2024-2025,26,20.0,6.75,34,41,0,12,13,52,10,25,20,10,19,0.5,1,4.739130434782608,6.8
Nunn K.,2024-2025,29,31.25,21.1875,116,140,7,32,90,90,94,100,32,21,189,0.65625,2,19.0,13.1
Nwora J.,2024-2025,26,18.15625,8.5625,114,26,6,18,47,41,32,40,32,18,-7,0.5625,1,17.1875,8.1
Obst A.,2024-2025,28,24.147058823529413,10.470588235294118,65,53,0,19,40,73,20,98,34,19,-81,0.5588235294117647,1,14.764705882352942,9.6
Okobo E.,2024-2025,27,24.785714285714285,13.142857142857142,51,113,6,29,53,57,91,35,28,17,91,0.6071428571428571,0,11.63888888888889,12.6
Osman C.,2024-2025,30,18.774193548387096,8.096774193548388,75,20,5,13,19,66,58,37,31,20,38,0.6451612903225806,3,13.125,8.2
Osmani E.,2024-2025,26,16.757575757575758,6.636363636363637,99,31,7,17,35,58,34,25,33,19,37,0.5757575757575758,1,10.86111111111111,7.2
Oturu D.,2024-2025,25,16.78125,8.8125,137,19,29,14,36,78,54,0,32,18,59,0.5625,2,13.378378378378379,8.2
Ouattara Y.,2024-2025,33,14.741935483870968,4.709677419354839,55,11,2,14,13,41,11,27,31,18,-22,0.5806451612903226,6,6.090909090909091,4.8
Pajola A.,2024-2025,25,23.6,5.466666666666667,72,123,4,35,38,82,19,31,30,8,-50,0.26666666666666666,2,4.0,5.3
Papagiannis G.,2024-2025,27,16.321428571428573,6.928571428571429,94,15,38,14,17,63,18,8,28,16,47,0.5714285714285714,0,2.2,7.7
Papanikolaou K.,2024-2025,34,18.87878787878788,4.9393939393939394,96,75,10,21,25,62,27,30,33,23,132,0.696969696969697,7,3.066666666666667,6.1
Parker J.,2024-2025,30,27.484848484848484,14.181818181818182,134,57,8,28,49,66,41,63,33,19,45,0.5757575757575758,3,7.733333333333333,12.7
Parra J.,2024-2025,25,13.56,4.72,63,18,1,14,10,35,12,8,25,13,36,0.52,2,5.72972972972973,6.2
Peters A.,2024-2025,30,16.352941176470587,7.617647058823529,90,26,2,11,11,57,48,37,34,24,72,0.7058823529411765,3,6.918918918918919,6.2
